participant,condition,order,purse,shoe,plane,drum,quarter,apple,leaf_insect,flower,age,native_english,sex,race,consent,completed_all_trials,notes,coding
1,0,1,1,0,0,0,1,0,0,0,4.6,1,0,asian,2,1,,"response: 0=shape, 1=taxonomic"
2,1,1,1,0,0,0,0,0,0,0,4.7,1,0,asian,1,1,,"native_english, 0=no, 1=yes"
3,2,1,1,1,0,1,1,1,1,1,4.4,1,0,hispanic/latino,1,1,,"sex, 0-male, 1=female"
4,0,2,1,0,0,1,0,0,0,0,3.4,0,1,asian,3,1,,"completed_all_trails: 0=no, 1=yes"
5,1,2,1,0,0,0,1,1,1,0,4.7,1,1,white,3,1,,
6,2,2,1,,0,1,0,0,1,0,3.7,1,1,black/african,2,0,didn't respond to all questions; very shy,
7,0,3,1,1,0,1,1,1,1,0,3.7,1,0,white,2,1,,
8,1,3,1,0,1,1,0,1,0,0,3.2,1,1,asian,2,1,"she always picked the bottom item when answered; 
Looking back the video, their internet could have been a bit slow because the fireworks were very slow showing up and in one occasion (abdy) item did not wiggle other time seemed bit late",
9,2,3,1,0,1,1,1,1,1,1,4.7,1,0,asian,2,1,the parent couldn't find on her device how to set up that the videos would float on top of the slide,
10,0,4,0,0,0,0,0,1,1,0,3.8,1,0,white,1,1,,
11,1,4,0,0,,,,,,,3.9,1,1,"asian, white",3,0,"She quit after second question. Her mom did everything she could, but she didn't want to continue. ",
12,2,4,0,0,0,0,0,0,1,0,3.3,1,1,"Asian, Black/African, Pacific Islander",1,1,"Looking back the video, participant's internet sometimes could have been slow. At the 'wub' question things not always wiggeled. However, the fireworks looked ok. ",
13,0,5,,,0,1,1,1,0,0,3.1,0,1,asian,1,0,"She was very distracted throghout the session. Not positive if she understood what she needs to do (even I went over it multiple times). Her firt language was more like Vietnamese because her mom sometimes translated for her. Also, sometimes I felt the mom picked an answer so we can move on. ",
14,1,5,1,1,0,0,0,0,1,0,3.8,,1,white,2,1,,
15,2,5,1,0,1,0,1,1,1,0,3.2,1,1,Prefer not to answer,1,1,,
16,0,6,0,1,0,1,1,1,1,1,4.6,1,1,asian,1,1,,
17,1,6,0,1,0,0,0,1,0,1,3,1,1,"Asian, White",2,1,,
18,2,6,0,0,1,1,0,0,1,1,3.7,1,0,"Asian, White",2,1,,
19,0,1,1,1,0,1,1,1,1,1,4,0,1,asian,1,1,,
20,1,1,1,0,1,1,1,1,0,0,4.6,1,0,asian,2,1,,
21,2,1,0,0,0,1,0,0,0,0,3.8,1,Other,white,3,1,,
22,0,2,0,0,1,1,0,0,1,1,4.2,1,1,"Asian, White",3,1,accidentally I said 'edo' when I showed the 'abdy' picture - not sure how it happened I only noticed when I watched it back...,
23,1,2,0,1,0,0,1,0,1,1,3.5,1,0,white,2,1,,
24,2,2,0,0,1,1,0,1,1,0,3.6,1,1,white,1,1,,
25,0,3,1,0,1,1,0,1,0,1,3.4,1,0,white,2,1,,
26,1,3,1,0,0,1,0,0,1,0,3.3,1,0,"Asian, White",1,1,their internet connection wasn't really good at the beginning,
27,2,3,0,1,,1,,,,,4.4,1,1,"Asian, Black/African, Native American, White",2,0,Either their internet connection or microphone is not very good. The sound kept disappearing. In the beggining the sound was ok. After a while she lost interest. She did not finish the trials.,
28,0,4,0,1,0,0,1,0,1,0,3.7,0,0,asian,1,1,,
29,1,4,0,0,0,0,0,0,0,0,4.3,1,1,white,3,1,,
30,2,4,0,1,1,1,0,1,0,0,3.7,1,1,white,1,1,She exclusively picked the top answers... ,
31,0,5,0,1,1,1,,1,,,3.3,1,1,"Asian, Hispanic/Latinx, White",2,0,She kept pointing to the main object and we could not finish the game because after a while she felt tired too. (she picked only the top or left one),
32,1,5,0,1,1,1,1,1,1,,3.9,1,0,white,2,0,"for the 'flower' question he didn't want to pick any of the options, but the flower, so no answer there",
33,2,5,1,1,0,1,1,1,1,1,4.3,1,0,Asian,3,1,,
34,0,6,0,0,0,1,0,1,0,1,3.6,0,0,Asian,3,1,,
35,1,6,1,0,,0,,0,,,3.2,0,0,asian,1,0,"Participant didn't speak English at all and parent translated for him. He opted out the study half way. Child's native (first) language: Mandarin, Cantonese",
36,2,6,0,0,1,1,1,0,1,0,3.3,0,0,"hispanic/latinx, white",1,1,,
37,0,1,0,1,0,1,1,0,1,1,3.2,1,0,asian,1,1,"he was distracted at the beginning, but by the end he got the hang of it. there were a lot of parent involvment",
38,1,1,0,0,0,0,0,0,0,0,3.2,1,0,white,2,1,,
39,2,1,1,1,1,1,1,1,1,1,4.9,1,1,white,3,1,,
40,0,2,1,0,1,0,1,1,0,1,4.7,0,0,other,1,1,,
41,1,2,1,0,1,0,0,0,0,1,3.7,-,Prefer not to answer,white,1,1,,
42,2,2,0,1,1,1,1,0,1,0,3.2,1,0,white,2,1,,
43,0,3,1,0,1,0,1,0,1,1,3.9,1,1,white,3,1,,
44,1,3,0,0,0,0,0,1,1,0,4.5,1,0,white,2,1,,
45,2,3,0,1,1,1,1,0,1,1,4.3,1,0,"hispanic/latinx, white",2,1,,
46,0,4,1,1,1,0,0,0,0,1,4.92,1,1,white,1,1,,
47,1,4,1,1,0,0,0,0,1,0,3.5,-,1,white,2,1,,
48,2,4,0,1,,,1,1,,,3.7,1,male,white,3,0,he was very distracted and opted out after a few questions,
49,0,5,0,1,1,0,0,1,0,0,4.36,0,0,Asian,1,1,,
50,1,5,0,0,0,0,0,0,0,0,4.86,1,1,Asian,3,1,,
51,2,5,0,1,1,1,0,1,0,0,3.71,1,1,white,1,1,she seems to pick the top ones only,
52,0,6,1,1,0,0,0,1,1,1,4.47,1,1,"Asian, white",2,1,,
53,1,6,0,0,1,0,0,0,0,0,4.48,1,0,white,3,1,,
54,2,6,1,1,0,1,0,1,1,1,4.06,1,1,hispanic/latinx,2,1,,
55,0,1,1,0,0,0,0,0,0,0,4.56,0,1,Asian,2,1,,
56,1,1,1,1,0,1,0,1,1,1,4.36,1,1,Asian,3,1,,
57,2,1,0,0,0,0,0,1,0,1,4.25,1,0,"Asian, white",2,1,,
58,0,2,0,0,0,1,1,0,0,1,4.08,1,1,white,2,1,,
59,1,2,0,1,1,1,1,1,1,1,4.34,1,0,white,1,1,,
60,2,2,1,1,1,1,1,1,1,1,4.35,1,0,Asian,3,1,,
61,0,3,0,0,0,0,1,0,0,0,4.53,1,1,white,2,1,,
62,1,3,0,1,1,0,1,1,0,0,4.71,1,1,white,3,1,,
63,2,3,0,1,1,1,1,1,1,1,4.7,1,0,white,3,1,,
64,0,4,0,0,0,0,0,0,1,0,3.97,0,1,asian,2,1,,
65,1,4,1,1,0,0,0,0,0,1,4.45,1,1,"asian, white",2,1,,
66,2,4,1,0,0,1,1,1,1,0,4.04,1,0,"white, other",1,1,,
67,0,5,0,0,0,0,0,0,1,0,4.1,1,1,white,3,1,,
68,1,5,0,0,0,0,1,1,0,1,4.54,1,0,white,3,1,,
69,2,5,1,0,1,1,0,1,0,0,4.22,1,0,Other,1,1,,
70,0,6,1,1,1,0,0,1,1,1,4.14,1,1,white,3,1,,
71,1,6,1,1,1,0,1,1,1,1,4.03,1,1,asian,2,1,,
72,2,6,1,0,0,0,0,0,1,0,4.08,1,1,Hispanic/Latinx,2,1,,
73,0,1,0,1,0,1,,x,1,1,4.47,0,1,"Asian, White",2,0,,
74,1,1,0,0,1,1,0,1,0,0,4.97,1,1,white,2,1,,
75,2,1,1,1,0,1,1,1,1,1,4.93,  ,Prefer not to answer,Prefer not to answer,1,1,,
76,0,2,0,0,1,0,0,0,1,0,4.22,1,1,Asian,2,1,"there was an odd tapping noise at the beginning of the video, didn't hear during the actual session",
77,1,2,1,1,0,0,0,0,1,0,4.1,N/A,not specified,not specified,2,1,,
78,2,2,1,0,1,1,0,1,0,0,4.3,1,1,"Asian, Pacific Islander, White",1,1,,
79,0,3,1,0,0,0,0,0,1,0,4.9,1,1,Asian,2,1,,
80,1,3,1,0,0,0,0,1,0,0,4.1,1,1,Asian,1,1,"they put the video in top right although instructed not to (I think seeing the contradicting slide was confusing), so it was still blocking the images a little. child wanted to stop before the last one but mother convinced her to finish it. Parent requested a link to the study be sent to her when the study is finished.",
81,2,3,1,1,0,1,1,1,1,1,4.09,1,0,white,2,1,the TV image was partially obscured by researcher's face,
82,0,4,1,0,0,0,1,0,1,1,4.9,1,prefer not to answer,Hispanic/Latinx,2,1,,
83,1,4,1,0,1,1,0,0,1,0,4.28,1,0,white,3,1,,
84,2,4,1,1,0,1,1,1,1,1,4.97,1,1,white,2,1,,
85,0,5,1,0,0,1,0,0,0,1,4.33,0,0,Asian,3,1,,
86,1,5,0,1,0,0,0,0,1,0,4.05,1,0,Hispanic/Latinx,2,1,"for the quarter one, he changed his mind from bottom to top",
87,2,5,0,0,1,0,0,1,1,1,4.57,0,1,"Hispanic/Latinx, White",3,1,,
88,0,6,0,1,0,1,0,1,0,0,4.93,1,1,Asian,1,1,,
89,1,6,0,0,0,0,1,0,1,0,4.68,0,1,Asian,2,1,,
90,2,6,1,0,1,1,1,1,1,1,4.29,1,0,"asian, white",3,1,,
91,0,1,0,0,0,0,0,0,1,0,4.08,1,1,"asian, white",3,1,,
92,0,5,1,0,0,0,0,0,0,0,4.06,1,0,white,2,1,,
93,2,2,1,0,1,1,0,0,1,1,4.05,1,prefer not to aswer,prefer not to aswer,1,1,"was shy, mostly pointed at the pictures and let his mom say the answers",
94,0,5,1,0,0,0,1,1,0,1,4.73,1,1,other,2,1,,
95,1,4,0,0,0,0,1,0,1,0,4.64,1,1,white,3,1,,
96,1,5,0,0,1,0,1,1,1,0,4.15,1,0,White,2,1,"Lots of technical difficulties. In the end, could not get them to hide self view or uncheck side-by-side mode. The trials themselves went fine",
97,1,6,0,0,0,1,0,1,0,0,4.41,1,1,"Asian, White",2,1,,
98,2,3,1,1,0,1,1,1,1,1,4.47,1,0,"Asian, White",3,1,,
99,2,4,1,1,1,0,0,0,1,0,4.57,0,1,Asian,2,1,,